Ticker,Market Cap,PE Ratio,Forward P/E,P/S Ratio,P/B Ratio,Dividend Yield (%),Current Ratio,Debt/Equity,Revenue Growth 4Y (%),EPS Growth 4Y (%),Forward EPS Growth (%),EPS,PEG Ratio,ROE (%),ROA (%),ROIC (%),Profit Margin (%),Gross Margin (%),Free Cash Flow Yield (%),EV/EBITDA,Recent 52-Week High,Sector
FPC.V,98048296.0,N/A,-3.5,N/A,2.0,N/A,0.1,0.74393,N/A,15.91035847,N/A,-0.01,N/A,-12.2329995,-2.314770684,-4.004971614,N/A,N/A,-4.02594767,-34.73,False,Basic Materials
SSV.V,95519992.0,N/A,N/A,N/A,2.5833335,N/A,1.718,N/A,N/A,0.0,N/A,-0.01,N/A,-10.05,-9.918104866,-10.14349556,N/A,N/A,-4.170372825,N/A,False,Basic Materials
BRC.V,96025872.0,N/A,-12.5,N/A,9.146341,N/A,8.675,0.00923,N/A,33.1259695,N/A,-0.02,N/A,-62.625,-60.192823,-68.7916328,N/A,N/A,-7.329530553,-17.447,True,Basic Materials
MGG.V,95211112.0,N/A,N/A,N/A,12.0,N/A,2.025,N/A,N/A,15.91035847,N/A,-0.01,N/A,-41.981998,-39.64098188,-42.62109198,N/A,N/A,N/A,-51.981,False,Basic Materials
FPX.V,94462800.0,N/A,-30.000002,N/A,1.2875537,N/A,15.535,0.00431,N/A,-13.53036034,N/A,-0.01,N/A,-3.507,-3.194242891,-3.376641537,N/A,N/A,-2.37273743,-12.435,False,Basic Materials
OMG.V,92994304.0,N/A,-6.0000005,N/A,7.5,N/A,12.651,N/A,N/A,33.1259695,N/A,-0.01,N/A,-34.397998,-55.7863052,-77.74765748,N/A,N/A,-3.007290237,-28.963,True,Basic Materials
HSTR.V,92739016.0,N/A,-4.55,N/A,3.669355,N/A,0.698,N/A,N/A,20.47292712,N/A,-0.06,N/A,-74.041003,-62.14442868,-73.21649135,N/A,N/A,-15.30390061,-5.352,True,Basic Materials
BCM.V,91060408.0,N/A,-3.3333335,0.9621056,1.4652015,N/A,0.186,1.19612,N/A,-20.24964079,N/A,-0.33,-0.02,-60.457003,-19.67204425,-35.04700054,-50.973,33.42,-14.44744348,12.627,False,Basic Materials
FISH.V,90647552.0,128.0,N/A,36.097836,2.4806201,5.3200003,6.244,0.10885,122.8151835,26.88895543,N/A,0.01,N/A,3.25,2.958183941,2.988459405,48.896998,80.823,N/A,-288.374,False,Basic Materials
RDS.V,89940200.0,N/A,0.06603774,N/A,1.8064516,N/A,12.729,N/A,N/A,29.28932188,N/A,N/A,N/A,-1.7860001,-1.58275036,-1.74758082,N/A,N/A,-5.321482305,-57.15,True,Basic Materials
ETL.V,89570592.0,N/A,-9.916667,N/A,1.6481996,N/A,31.631,0.0107,N/A,-16.73775258,N/A,-0.12,N/A,-20.474,-19.35583517,-16.47754914,N/A,N/A,-21.23652982,-6.24,False,Basic Materials
SUP.V,89184240.0,N/A,N/A,N/A,11.020409,N/A,26.168,N/A,N/A,-18.9207115,N/A,-0.02,N/A,-10.699,-16.19082837,-34.56152787,N/A,N/A,N/A,-29.509,False,Basic Materials
DBG.V,87367496.0,N/A,N/A,N/A,4.326923,N/A,4.367,N/A,N/A,0.0,N/A,-0.01,N/A,-8.9449994,-8.632601325,-8.860433314,N/A,N/A,-5.65035033,-36.535,False,Basic Materials
AU.V,86355616.0,N/A,-5.272727,N/A,1.2393162,N/A,4.809,0.00119,N/A,-13.62193665,N/A,-0.05,N/A,-9.5649995,-9.114506492,-9.660756275,N/A,N/A,-3.225470664,-22.421,False,Basic Materials
MJS.V,88626096.0,8.5,N/A,1.4750649,0.8018868,N/A,4.682,0.0262,1.247278316,0.0,40.9,0.01,N/A,11.6359994,4.912073052,7.75468018,13.951,66.394997,27.93399779,1.404,False,Basic Materials
SLVR.V,83961040.0,N/A,-11.5,N/A,1.0176991,N/A,10.081,N/A,N/A,8.067728478,N/A,-0.01,N/A,-3.513,-3.438142344,-3.522645879,N/A,N/A,-6.367440712,-25.22,False,Basic Materials
LIO.V,83851520.0,N/A,3.5555553,15.547848,0.4283802,N/A,4.655,0.21767,N/A,0.0,N/A,-0.07,N/A,-9.335,-7.514495514,-7.327805424,-281.426,-151.468,-65.25700136,-7.931,False,Basic Materials
KLD.V,83385864.0,N/A,N/A,22.708773,1.6420119,N/A,5.444,0.005,55.82239217,15.3273819,N/A,-0.07,N/A,-8.103,-6.803310234,-8.590621118,-106.148,99.223,-6.524529355,-31.22,False,Basic Materials
CRE.V,82777304.0,38.0,-19.0,N/A,1.082621,N/A,18.491,0.00267,N/A,-18.9207115,N/A,0.01,N/A,-5.841,2.861941115,3.16728833,N/A,N/A,-29.39903478,-8.238,False,Basic Materials
