Ticker,Market Cap,PE Ratio,Forward P/E,P/S Ratio,P/B Ratio,Dividend Yield (%),Current Ratio,Debt/Equity,Revenue Growth 4Y (%),EPS Growth 4Y (%),Forward EPS Growth (%),EPS,PEG Ratio,ROE (%),ROA (%),ROIC (%),Profit Margin (%),Gross Margin (%),Free Cash Flow Yield (%),EV/EBITDA,Recent 52-Week High,Sector
CDB.V,37314768.0,N/A,N/A,N/A,3.1923077,N/A,4.938,0.09528,N/A,11.26439343,N/A,-0.2,N/A,-72.539,-35.09154671,-77.70904822,N/A,N/A,-132.334652,-0.95,False,Basic Materials
ROS.V,37823584.0,N/A,N/A,N/A,N/A,N/A,0.095,N/A,N/A,42.01557191,N/A,-0.01,N/A,N/A,-1339.057125,209.8157213,N/A,N/A,N/A,N/A,False,Basic Materials
TM.V,36212652.0,20.75,2.3714285,1.849181,N/A,N/A,0.293,N/A,N/A,35.94919327,N/A,0.04,N/A,N/A,-0.201416503,2.570933531,-0.505,18.417,-46.59534667,3.177,False,Basic Materials
MMG.V,35959256.0,N/A,N/A,N/A,4.8809524,N/A,11.092,N/A,N/A,N/A,N/A,-0.04,N/A,-95.862,N/A,-78.05789893,N/A,N/A,-15.6064422,N/A,False,Basic Materials
MKA.V,35214480.0,N/A,N/A,N/A,14.999999,N/A,0.156,N/A,N/A,0.0,N/A,-0.02,N/A,-114.74401,-53.56174532,-202.437905,N/A,N/A,-11.76645177,-9.657,False,Basic Materials
UCU.V,33382478.0,N/A,N/A,N/A,0.7976367,N/A,0.387,0.32907,N/A,1.835642331,N/A,-0.23,N/A,-32.846,-25.67298658,-25.55476783,N/A,N/A,-24.77166625,-5.508,False,Basic Materials
LCE.V,32723898.0,N/A,-7.3333335,N/A,0.6094183,N/A,10.403,0.00816,N/A,-31.6074013,N/A,-0.03,N/A,-5.738,-5.57150951,-5.689340601,N/A,N/A,-37.02728866,-7.269,False,Basic Materials
MAE.V,33240398.0,N/A,N/A,N/A,0.62499994,N/A,1.833,0.16113,N/A,0.0,N/A,-0.02,N/A,-13.736,-11.41441858,-11.50893834,N/A,N/A,N/A,-9.451,False,Basic Materials
GUS.V,32346542.0,N/A,N/A,N/A,4.7787614,N/A,8.452,N/A,N/A,11.0860295,N/A,-0.09,N/A,-77.677,-63.44818693,-109.7950941,N/A,N/A,N/A,-4.052,False,Basic Materials
MRZ.V,32068948.0,N/A,N/A,2006.5667,8.518518,N/A,4.198,0.02499,N/A,-11.49722512,N/A,-0.16,N/A,-228.60801,-202.8033261,-160.2858351,N/A,100.0,-31.8828893,-2.714,False,Basic Materials
KDK.V,31297936.0,N/A,-3.8181818,N/A,0.84677416,N/A,2.697,N/A,N/A,43.76586748,N/A,-0.02,N/A,-4.2740002,-3.883170563,-4.409716909,N/A,N/A,-40.80709366,-7.832,False,Basic Materials
ARK.V,32107682.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.06,N/A,N/A,-37.1320235,-47.40526811,N/A,N/A,N/A,N/A,False,Basic Materials
BRW.V,30669850.0,N/A,N/A,N/A,1.4220184,N/A,7.422,0.00118,N/A,N/A,N/A,-0.03,N/A,-31.787002,-29.91827317,-31.14261516,N/A,N/A,-58.7997878,-5.961,False,Basic Materials
ECU.V,30544664.0,N/A,N/A,N/A,2.712766,N/A,2.592,0.00262,N/A,15.91035847,N/A,-0.06,N/A,-55.84,-54.34465882,-46.76334399,N/A,N/A,-9.596285192,-24.032,False,Basic Materials
STS.V,31057716.0,N/A,N/A,N/A,2.3983738,N/A,1.346,N/A,N/A,-1.227223443,N/A,-0.2,N/A,-54.98,-17.08350244,-41.13338028,N/A,N/A,-52.58016468,-4.953,False,Basic Materials
RYR.V,30555040.0,N/A,N/A,N/A,2.5555556,N/A,33.335,0.00517,N/A,-31.6074013,N/A,-0.06,N/A,-77.607,-75.77557615,-90.98695184,N/A,N/A,-22.58256331,-2.885,True,Basic Materials
VIO.V,30402058.0,N/A,N/A,363.17444,1.2037036,N/A,2.628,0.00571,N/A,N/A,N/A,-0.01,N/A,-4.344,-3.255556884,-5.269655352,N/A,99.737,-18.87721843,-15.044,False,Basic Materials
PGZ.V,30347250.0,N/A,N/A,N/A,5.0,N/A,9.355,N/A,N/A,-13.62193665,N/A,-0.05,N/A,-126.183,-113.2769582,-128.9262004,N/A,N/A,N/A,N/A,False,Basic Materials
NPR.V,30157200.0,N/A,N/A,N/A,2.4752474,N/A,19.626,0.00436,N/A,-20.38013435,N/A,-0.19,N/A,-49.194,-48.30117747,-38.43927312,N/A,N/A,-17.28083976,-4.889,False,Basic Materials
AMY.V,30244310.0,N/A,-5.75,N/A,1.6197183,N/A,2504.442,N/A,N/A,N/A,N/A,-0.03,N/A,-42.064,-41.86597831,-43.94690239,N/A,N/A,N/A,-1.511,False,Basic Materials
WML.V,30231540.0,N/A,-0.90000004,N/A,0.5882353,N/A,15.958,N/A,N/A,0.0,N/A,-0.03,N/A,-21.721001,-21.29335522,-22.00554193,N/A,N/A,N/A,-2.265,False,Basic Materials
MGM.V,30098318.0,N/A,-4.0,N/A,8.888889,N/A,2.217,0.05052,N/A,-10.66819197,N/A,-0.03,N/A,-95.555997,-53.31576257,-101.6504793,N/A,N/A,-22.56028717,-4.61,True,Basic Materials
GLDC.V,29644544.0,N/A,N/A,N/A,0.61518323,N/A,4.687,0.00096,N/A,20.47292712,N/A,-0.04,N/A,-3.004,-3.955576404,-4.040187678,N/A,N/A,-33.40750503,-8.548,False,Basic Materials
AGMR.V,29383920.0,N/A,N/A,N/A,0.8333333,N/A,3.335,N/A,N/A,-22.8524636,N/A,-0.01,N/A,-7.13,-6.656198734,-7.365682189,N/A,N/A,-17.084309,-7.157,False,Basic Materials
GFG.V,30071750.0,N/A,-12.5,N/A,0.8333333,N/A,1.66,0.00186,N/A,-56.50845801,N/A,-0.05,N/A,-31.684,-30.68474662,-37.0927083,N/A,N/A,-15.22525279,-24.165,True,Basic Materials
GPG.V,27554230.0,N/A,N/A,N/A,1.3372092,N/A,1.381,0.00876,N/A,15.91035847,N/A,-0.01,N/A,-3.776,-3.73723851,-3.670743257,N/A,N/A,-12.68446785,N/A,False,Basic Materials
ECR.V,28144000.0,N/A,N/A,N/A,0.67796606,N/A,14.123,0.00242,N/A,38.51298917,N/A,N/A,N/A,-3.6140002,-3.179702657,-3.537975347,N/A,N/A,-10.18233067,-18.411,False,Basic Materials
QZM.V,28477820.0,N/A,N/A,N/A,24.500002,N/A,1.174,0.02628,N/A,N/A,N/A,-0.02,N/A,-92.03,-85.34809777,-91.40579637,N/A,N/A,-3.288687344,-34.948,False,Basic Materials
FMC.V,27983200.0,N/A,N/A,N/A,4.1304345,N/A,2.293,N/A,N/A,-10.66819197,N/A,-0.03,N/A,-116.802,-80.48584855,-117.2052462,N/A,N/A,N/A,-2.745,False,Basic Materials
EDG.V,27655360.0,N/A,N/A,N/A,1.72043,N/A,29.915,N/A,N/A,N/A,N/A,-0.01,N/A,-5.805,-5.624905926,-6.117818375,N/A,N/A,-6.534499224,-50.532,False,Basic Materials
MD.V,27364302.0,N/A,N/A,91.12929,0.69230765,N/A,2.435,0.00065,90.82420173,15.91035847,N/A,-0.03,N/A,-6.8,-6.437659522,-6.768206064,N/A,100.0,-12.30243039,-12.177,False,Basic Materials
PGE.V,27248160.0,N/A,N/A,N/A,3.5294116,N/A,18.682,N/A,N/A,15.91035847,N/A,-0.03,N/A,-62.299,-113.968243,-120.4031654,N/A,N/A,-21.48989487,N/A,False,Basic Materials
LEO.V,27009920.0,N/A,N/A,N/A,6.3636365,N/A,0.935,0.12136,N/A,-45.13949558,N/A,-0.03,N/A,-91.261,-31.44193251,-115.0956768,N/A,N/A,-4.401686541,-3.312,False,Basic Materials
ABR.V,26777946.0,N/A,N/A,N/A,3.0,N/A,243.008,N/A,N/A,15.91035847,N/A,-0.03,N/A,-38.459998,-31.13280185,-21.52103587,N/A,N/A,-9.883819824,N/A,False,Basic Materials
NAU.V,26389440.0,N/A,N/A,N/A,1.12,N/A,26.051,0.00747,N/A,N/A,N/A,-0.03,N/A,N/A,-11.09252219,-11.60040547,N/A,N/A,-3.736948316,N/A,False,Basic Materials
SME.V,26408160.0,N/A,N/A,N/A,1.3333333,N/A,124.785,N/A,N/A,22.54033308,-94.3,N/A,N/A,-6.371,4.595677923,5.08443621,N/A,N/A,-18.5389045,-5.21,False,Basic Materials
WHN.V,25607672.0,N/A,-16.500002,N/A,0.7638889,N/A,1.416,0.00567,N/A,15.91035847,N/A,-0.01,N/A,-7.29,-5.701945462,-6.230076912,N/A,N/A,-31.06921539,-11.661,False,Basic Materials
CN.V,25407902.0,18.000002,-1.3846155,N/A,2.5000002,N/A,30.344,N/A,N/A,-15.91035847,N/A,0.01,N/A,12.196,12.01403148,10.20035661,N/A,N/A,-2.356429215,-64.586,False,Basic Materials
JRV.V,27027598.0,N/A,N/A,0.17125584,0.18518518,N/A,0.902,1.24892,N/A,-87.95849786,N/A,-0.1,N/A,-80.26,N/A,0.0,-114.653,-4.217,N/A,-30.231,False,Basic Materials
VML.V,25349220.0,N/A,N/A,N/A,3.4328358,N/A,0.562,0.04786,N/A,15.91035847,N/A,-0.02,N/A,-14.052,-16.80095282,-19.91999209,N/A,N/A,N/A,N/A,False,Basic Materials
RPX.V,23838876.0,N/A,-6.25,N/A,8.333334,N/A,2.426,0.06397,N/A,2.901645659,N/A,-0.04,N/A,-577.919,-256.2762335,-145.1023474,N/A,N/A,-71.79423508,-1.348,False,Basic Materials
LEM.V,24788720.0,N/A,N/A,N/A,0.94017094,N/A,14.108,N/A,N/A,-18.9207115,N/A,-0.02,N/A,-13.533,-9.172455651,-11.47887494,N/A,N/A,-15.70966238,-6.826,False,Basic Materials
BAY.V,24030250.0,N/A,N/A,N/A,10.555556,N/A,2.961,N/A,N/A,-18.9207115,N/A,-0.02,N/A,N/A,-206.8006124,-494.8356192,N/A,N/A,N/A,-6.231,False,Basic Materials
RSLV.V,23961718.0,N/A,N/A,N/A,1.3186814,N/A,8.423,N/A,N/A,9.639799639,N/A,-0.05,N/A,-37.647998,-37.01573245,-43.29784952,N/A,N/A,-37.05666695,-2.922,False,Basic Materials
CPS.V,23774928.0,N/A,N/A,N/A,N/A,N/A,0.317,N/A,N/A,-21.78832856,N/A,-0.05,N/A,N/A,-199.1803854,-658.2598745,N/A,N/A,N/A,-6.731,False,Basic Materials
AZS.V,23511626.0,N/A,N/A,N/A,3.4659092,N/A,3.763,N/A,N/A,9.639799639,N/A,-0.04,N/A,-42.888,-41.88774341,-48.05705716,N/A,N/A,-6.307811984,N/A,False,Basic Materials
BZ.V,22833766.0,N/A,N/A,N/A,2.2131147,N/A,9.51,N/A,N/A,34.70057943,N/A,-0.02,N/A,-37.287998,-38.66253568,-49.30568077,N/A,N/A,-2516.577659,N/A,False,Basic Materials
DEFN.V,23275890.0,N/A,-4.5000005,N/A,0.55214727,N/A,0.634,0.00265,N/A,15.91035847,N/A,-0.02,N/A,-7.069,N/A,-9.390083675,N/A,N/A,-36.51897184,N/A,False,Basic Materials
TECT.V,22912680.0,N/A,N/A,N/A,14.999999,N/A,3.538,N/A,N/A,19.08932884,N/A,-0.02,N/A,-327.67498,-459.6489762,-388.3831214,N/A,N/A,-43.55340289,-2.448,False,Basic Materials
ALTA.V,22257584.0,N/A,N/A,N/A,0.95454544,N/A,9.324,N/A,N/A,15.91035847,N/A,-0.01,N/A,-8.031,-7.858659421,-7.451382877,N/A,N/A,-13.6572903,-11.028,False,Basic Materials
LIS.V,22035000.0,N/A,N/A,N/A,1.5267177,N/A,24.063,N/A,N/A,4.893005844,N/A,-0.07,N/A,-42.806,-41.44676074,-46.75747624,N/A,N/A,-30.87049983,-2.672,False,Basic Materials
EMM.V,21945038.0,N/A,-1.3333334,N/A,0.89887637,N/A,8.446,0.78429,N/A,0.0,N/A,-0.03,N/A,-28.673,-19.50293952,-26.2036094,N/A,N/A,-43.74918827,-3.754,False,Basic Materials
QCCU.V,20839318.0,N/A,N/A,N/A,1.9047618,N/A,188.966,N/A,N/A,N/A,N/A,-0.04,N/A,-39.241,-38.95286084,-43.79391815,N/A,N/A,N/A,-2.646,False,Basic Materials
STRR.V,20901806.0,2.7,N/A,20.437107,0.3994083,N/A,5.875,N/A,212.9838923,N/A,N/A,0.1,N/A,12.889,12.75893239,12.4549412,622.81203,100.0,N/A,-9.009,False,Basic Materials
CCE.V,21202200.0,N/A,N/A,N/A,0.22075056,N/A,6.733,0.00141,N/A,0.0,N/A,-0.01,N/A,-2.145,-2.123587766,-2.110137944,N/A,N/A,N/A,-11.313,False,Basic Materials
LBNK.V,21449648.0,N/A,-3.5833335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.05,N/A,N/A,-11.33584049,-10.2001871,N/A,N/A,N/A,N/A,False,Basic Materials
ELEC.V,20321000.0,N/A,N/A,213.55682,1.4598541,N/A,1.662,0.4461,N/A,6.93951409,N/A,-0.06,N/A,-41.14,-32.85842427,-38.50605139,N/A,100.0,-20.37418024,-17.296,False,Basic Materials
STE.V,19866484.0,N/A,N/A,N/A,1.1897106,N/A,0.701,N/A,N/A,-7.456993182,N/A,-0.03,N/A,-7.896,-7.360103272,-7.573810519,N/A,N/A,N/A,N/A,False,Basic Materials
BRO.V,20041950.0,N/A,N/A,N/A,0.7246377,N/A,1.813,0.06265,N/A,-10.66819197,N/A,-0.06,N/A,-18.937,-17.20313044,-18.5644607,N/A,N/A,-27.88550391,-8.893,False,Basic Materials
EMN.V,20133450.0,N/A,-5.0,8.015071,1.3513514,N/A,4.609,1.85302,N/A,11.98882632,N/A,-0.03,N/A,-72.861,-38.05237308,-36.51460941,N/A,-19.323,-47.19661338,-2.504,False,Basic Materials
AUMB.V,19526424.0,N/A,N/A,N/A,0.65610856,N/A,1.799,N/A,-48.95589627,33.1259695,N/A,-0.02,N/A,-5.8509998,-4.967605823,-5.670076683,N/A,N/A,-24.32961206,-2.296,False,Basic Materials
VCU.V,19352630.0,N/A,N/A,N/A,0.6296296,N/A,2.681,0.01183,N/A,-107.0778008,N/A,-0.12,N/A,-56.673,-53.1229642,-46.85295135,N/A,N/A,-40.2844049,-4.772,False,Basic Materials
WHY.V,19238984.0,N/A,N/A,N/A,N/A,N/A,0.017,N/A,N/A,-18.9207115,N/A,-0.04,N/A,N/A,-165.258657,1004.606255,N/A,N/A,-8.952497516,-9.705,False,Basic Materials
SRL.V,19028016.0,N/A,N/A,N/A,0.75892854,N/A,7.355,N/A,N/A,-31.6074013,N/A,-0.04,N/A,-24.94,-24.50106813,-27.6216943,N/A,N/A,-9.651726343,-11.546,False,Basic Materials
ANK.V,19368196.0,N/A,N/A,N/A,17.5,N/A,0.245,5.57029,N/A,12.66397347,N/A,-0.01,N/A,-106.458,-17.06420006,-20.25374649,N/A,N/A,-3.284326596,-22.545,False,Basic Materials
CRI.V,22073330.0,N/A,N/A,N/A,14.375,N/A,0.187,0.80934,N/A,N/A,N/A,-0.04,N/A,-309.10902,-193.5856785,-221.4057583,N/A,N/A,-28.25152104,-3.016,False,Basic Materials
TSLV.V,18815500.0,N/A,N/A,N/A,10.0,N/A,1.765,N/A,N/A,-11.35482514,N/A,-0.03,N/A,-159.92799,-134.9885659,-237.3436471,N/A,N/A,-15.06777493,-5.11,False,Basic Materials
CCCM.V,18874864.0,N/A,-30.500002,N/A,0.31059065,N/A,7.04,N/A,N/A,-61.87758405,N/A,-0.25,N/A,-1.3300001,-1.253932767,-1.199935801,N/A,N/A,-66.02748559,-23.143,False,Basic Materials
GG.V,18531056.0,N/A,5.2,1.8369343,0.62499994,N/A,0.332,0.1635,N/A,N/A,N/A,-0.04,N/A,-7.9,-5.504603162,-6.865869111,-24.145001,11.153,-17.53375625,-129.256,False,Basic Materials
CSO.V,18686160.0,N/A,0.25352114,0.11214231,0.27522936,N/A,0.698,0.3087,11.29548153,N/A,N/A,-0.07,N/A,-5.7919998,-2.151579351,-3.930109775,-2.4260001,1.442,41.29281949,6.146,False,Basic Materials
BMET.V,18060720.0,N/A,N/A,N/A,0.7079646,N/A,14.668,0.56687,N/A,0.0,N/A,-0.01,N/A,-11.3520004,-7.6981911,-7.466237433,N/A,N/A,N/A,N/A,False,Basic Materials
ATY.V,18192900.0,N/A,2.1428573,0.29721668,0.32119915,N/A,0.867,0.43433,-0.863425833,N/A,N/A,-0.07,N/A,-9.711,-5.16022676,-7.118997997,-9.753,15.925,8.753886493,3.204,False,Basic Materials
AUAU.V,17830110.0,5.666667,-8.5,N/A,0.48991355,N/A,4.333,0.00263,N/A,23.86455639,N/A,0.03,N/A,10.897,5.700956297,5.487901553,N/A,N/A,-4.675138408,3.131,False,Basic Materials
BEX.V,17647650.0,N/A,N/A,N/A,1.0465117,N/A,3.331,0.00626,N/A,N/A,N/A,N/A,N/A,6.531,6.235912114,6.533560096,N/A,N/A,N/A,-14.609,False,Basic Materials
CNX.V,17500090.0,N/A,-0.7948718,N/A,0.42311195,N/A,0.453,0.00104,N/A,5.4258391,N/A,-0.06,N/A,-2.8369999,-2.603410523,-2.833464267,N/A,N/A,-26.42974107,-8.779,False,Basic Materials
GGO.V,17317220.0,N/A,N/A,N/A,0.7142857,N/A,0.7,0.06286,N/A,49.18672518,N/A,-0.07,N/A,-19.996001,-16.36861374,-20.19210949,N/A,N/A,-15.61156537,-4.664,True,Basic Materials
LIT.V,17442750.0,N/A,N/A,N/A,0.2869757,N/A,30.569,N/A,N/A,-143.2299279,N/A,-0.35,N/A,-137.47001,-108.3294517,-92.74176682,N/A,N/A,-375.5587603,N/A,False,Basic Materials
CD.V,17162010.0,N/A,N/A,N/A,4.5000005,N/A,7.644,0.01314,N/A,0.0,N/A,-0.03,N/A,-174.931,-91.06610898,-124.6335253,N/A,N/A,N/A,-3.304,False,Basic Materials
KG.V,17232136.0,N/A,-8.5,N/A,0.53797466,N/A,3.841,0.00378,N/A,17.05616222,N/A,N/A,N/A,-1.989,-1.958106715,-1.99636901,N/A,N/A,-14.43824954,-20.11,False,Basic Materials
KC.V,17040870.0,N/A,-5.5,N/A,0.40145987,N/A,19.148,N/A,N/A,N/A,-97.4,-0.03,N/A,-9.422,-5.843868893,-9.66584856,N/A,N/A,-13.13338244,N/A,False,Basic Materials
DAU.V,16868700.0,N/A,N/A,N/A,75.0,N/A,1.531,N/A,N/A,15.91035847,N/A,-0.02,N/A,-456.277,-252.5783249,-735.6424676,N/A,N/A,N/A,-8.959,False,Basic Materials
BRAU.V,16850910.0,N/A,N/A,N/A,2.2368422,N/A,3.648,0.00568,N/A,15.91035847,N/A,-0.02,N/A,-56.665003,-52.24540417,-51.25100518,N/A,N/A,-20.96003943,-4.951,False,Basic Materials
YGT.V,16561101.0,N/A,-5.0,N/A,0.32467532,N/A,4.037,N/A,N/A,0.0,N/A,-0.01,N/A,-4.415,-4.265416211,-4.501307722,N/A,N/A,-14.34561156,-12.383,False,Basic Materials
JG.V,16673475.0,N/A,-6.5,N/A,0.6770833,N/A,3.968,0.06356,N/A,15.91035847,N/A,N/A,N/A,-10.0,-9.759239183,-9.895724571,N/A,N/A,-19.6627797,-5.638,False,Basic Materials
EMNT.V,16473841.0,N/A,N/A,N/A,5.8823533,N/A,0.186,0.03925,N/A,-22.47448714,N/A,-0.09,N/A,-103.426,-91.88609894,-126.4195494,N/A,N/A,-4.515956008,N/A,False,Basic Materials
PGDC.V,16276785.0,N/A,N/A,1.7649951,4.375,N/A,1.074,20.51233,N/A,N/A,N/A,-0.04,N/A,-120.156,N/A,N/A,-62.383,0.759,N/A,-10.11,True,Basic Materials
AIR.V,16249451.0,N/A,-0.7,N/A,0.44871795,N/A,1.616,0.00018,N/A,-18.9207115,N/A,-0.02,N/A,-9.552,-8.662502916,-9.567131306,N/A,N/A,10.56885595,-4.139,True,Basic Materials
RUG.V,15814499.0,N/A,N/A,N/A,N/A,N/A,0.856,N/A,N/A,-4.264788544,N/A,-0.01,N/A,-1617.523,-632.0718853,-519.2195651,N/A,N/A,N/A,N/A,False,Basic Materials
TUK.V,15718451.0,N/A,N/A,8.001044,4.230769,N/A,0.691,0.2738,N/A,N/A,N/A,-0.01,N/A,-23.813999,-5.792241276,-19.67616143,-34.001,100.0,-22.29648951,-14.31,True,Basic Materials
MLP.V,15442240.0,N/A,N/A,N/A,1.9642856,N/A,1.703,0.00941,N/A,-94.0424428,N/A,-0.06,N/A,-38.167998,-35.26361779,-45.67926543,N/A,N/A,-7.858053072,-11.175,False,Basic Materials
UGD.V,15084080.0,N/A,-2.75,N/A,11.0,N/A,3.883,N/A,N/A,29.28932188,N/A,-0.01,N/A,-140.76899,-212.3209426,-218.97318,N/A,N/A,N/A,-5.317,False,Basic Materials
VUL.V,15517080.0,N/A,N/A,32.4313,0.37383175,N/A,93.716,N/A,N/A,-3.86773116,N/A,-0.02,N/A,-6.038,-5.440804942,-5.936394159,N/A,100.0,-2.413853487,-21.562,False,Basic Materials
SGN.V,12211992.0,N/A,N/A,N/A,1.6666667,N/A,0.214,0.53013,N/A,13.66599786,N/A,-0.08,N/A,-49.765998,-15.76708127,-31.38380799,N/A,N/A,-25.9513311,-5.003,False,Basic Materials
RDG.V,15354920.0,N/A,N/A,N/A,1.25,N/A,14.06,0.01654,N/A,24.01643143,N/A,-0.01,N/A,-6.374,-5.773510188,-6.072052938,N/A,N/A,-21.92765967,-24.286,False,Basic Materials
LBC.V,14543101.0,N/A,N/A,N/A,3.5294118,N/A,8.413,0.04504,N/A,-27.94805799,N/A,-6.79,N/A,-228.191,-164.4520877,-308.4514636,N/A,N/A,-40.67109027,-2.377,False,Basic Materials
FNC.V,14456040.0,6.0,N/A,N/A,0.29850745,N/A,3.903,N/A,N/A,-45.08995132,N/A,0.01,N/A,2.7090002,N/A,3.373986759,N/A,N/A,29.50348718,4.624,False,Basic Materials
RSMX.V,14373198.0,N/A,N/A,N/A,2.3387096,N/A,0.502,0.02594,N/A,-34.69272005,N/A,-0.03,N/A,-48.056,-42.10282023,-44.97572271,N/A,N/A,-19.12897914,-5.702,False,Basic Materials
OMI.V,14390880.0,N/A,N/A,N/A,N/A,N/A,0.229,N/A,N/A,N/A,N/A,-0.01,N/A,N/A,-14.79452055,19.50392511,N/A,N/A,-16.77025524,-8.307,False,Basic Materials
SOI.V,13892941.0,N/A,N/A,N/A,0.37190086,N/A,2.218,0.0047,N/A,N/A,N/A,N/A,N/A,-0.424,-0.39780644,-0.416951307,N/A,N/A,-19.94311988,27.838,False,Basic Materials
WRR.V,13856244.0,N/A,N/A,N/A,1.532258,N/A,3.023,N/A,N/A,24.01643143,N/A,-0.02,N/A,-9.664,-9.144846541,-9.80013655,N/A,N/A,-6.503007678,N/A,False,Basic Materials
BHS.V,14139101.0,N/A,N/A,N/A,N/A,N/A,0.586,5.03123,N/A,15.91035847,N/A,-0.01,N/A,-565.13395,-120.7321655,-316.9502953,N/A,N/A,N/A,-8.217,False,Basic Materials
CTM.V,13952301.0,N/A,N/A,N/A,0.7936508,N/A,5.297,N/A,N/A,24.01643143,N/A,-0.02,N/A,-19.224001,-18.85843398,-15.68527905,N/A,N/A,-13.73600813,N/A,False,Basic Materials
RK.V,13806800.0,N/A,N/A,N/A,0.30487806,N/A,17.271,N/A,N/A,16.59196064,N/A,N/A,N/A,-0.58600004,-0.540844373,-0.586309915,N/A,N/A,-2.372199179,N/A,False,Basic Materials
GAL.V,13772520.0,N/A,0.59999996,N/A,1.4285715,N/A,0.135,1.89079,N/A,2.901645659,N/A,-0.07,N/A,-60.69,-24.64910216,-37.56951579,N/A,N/A,-14.01168549,-14.585,False,Basic Materials
KTO.V,13571380.0,N/A,N/A,N/A,0.72784805,N/A,0.777,0.00129,N/A,25.99171955,N/A,-0.01,N/A,-4.593,-4.501145377,-4.460534705,N/A,N/A,N/A,N/A,False,Basic Materials
FBF.V,13761765.0,12.5,N/A,2.9503524,2.683363,N/A,9.266,0.05391,20.67428063,37.15246575,-23.9,0.12,N/A,N/A,12.4706192,12.82123026,17.122,40.389,11.78819408,9.034,False,Basic Materials
TDG.V,13736200.0,N/A,N/A,N/A,1.754386,N/A,1.543,0.00338,N/A,-23.5930917,N/A,-0.04,N/A,-70.186996,-57.32292368,-71.85540148,N/A,N/A,-43.26017355,-2.342,False,Basic Materials
DCMC.V,13539800.0,N/A,N/A,N/A,1.8867925,N/A,1.118,N/A,N/A,32.50983451,N/A,-0.04,N/A,-67.847997,-54.89306783,-58.32831061,N/A,N/A,-34.36866679,-2.635,False,Basic Materials
OMM.V,13506375.0,N/A,N/A,N/A,2.419355,N/A,0.961,1.83648,N/A,15.91035847,N/A,-0.01,N/A,-32.811,-12.04729342,-13.0062665,N/A,N/A,N/A,-23.987,False,Basic Materials
NRM.V,13357891.0,N/A,N/A,N/A,1.7857144,N/A,7.518,0.0055,N/A,11.98882632,N/A,-0.06,N/A,-53.583,-51.04229412,-61.47635026,N/A,N/A,N/A,-1.815,False,Basic Materials
FOR.V,13388238.0,N/A,N/A,N/A,0.57172555,N/A,0.715,0.02351,N/A,6.93951409,N/A,-0.02,N/A,-5.578,-5.096958227,-5.446810213,N/A,N/A,-8.056224121,-13.52,False,Basic Materials
MOON.V,13201025.0,N/A,N/A,N/A,8.928571,N/A,1.397,N/A,N/A,4.002533618,N/A,-0.02,N/A,-38.845003,-32.46175805,-41.07312811,N/A,N/A,N/A,N/A,True,Basic Materials
TWR.V,13013330.0,N/A,N/A,N/A,1.4655173,N/A,5.792,N/A,N/A,18.22169151,N/A,N/A,N/A,-5.1370002,-5.06132395,-5.063429142,N/A,N/A,-8.230999595,N/A,False,Basic Materials
GIGA.V,13198375.0,N/A,N/A,N/A,0.66844916,N/A,2.549,0.00404,N/A,9.639799639,N/A,-0.02,N/A,-8.4960006,-7.38602561,-9.078284655,N/A,N/A,-16.00711271,-7.636,False,Basic Materials
WCU.V,12966264.0,N/A,-0.4333333,N/A,0.40625,N/A,0.223,0.07403,N/A,9.466788262,N/A,-0.02,N/A,-38.309,-4.842612469,-5.099052576,N/A,N/A,-7.19340482,-3.782,False,Basic Materials
NWX.V,12669600.0,12.0,N/A,N/A,4.444444,16.67,29.33,0.02757,N/A,-24.01643143,-13.2,0.01,N/A,60.608,57.26510782,64.52658057,N/A,N/A,N/A,-7.433,False,Basic Materials
GBU.V,12563000.0,N/A,N/A,N/A,N/A,N/A,0.275,N/A,N/A,24.01643143,N/A,-0.02,N/A,N/A,-384.8201384,152.7408838,N/A,N/A,-87.00022784,-1.239,False,Basic Materials
SAE.V,12917925.0,N/A,N/A,N/A,N/A,N/A,0.69,N/A,N/A,N/A,N/A,-0.04,N/A,-481.672,-54.86878181,-382.150797,N/A,N/A,-393.5997913,-0.291,False,Basic Materials
GQ.V,12500626.0,N/A,N/A,N/A,N/A,N/A,0.027,N/A,N/A,N/A,N/A,-0.02,N/A,N/A,-2018.892806,107.4904119,N/A,N/A,N/A,N/A,True,Basic Materials
GMV.V,12294546.0,N/A,N/A,N/A,1.5168539,N/A,4.552,N/A,N/A,15.91035847,N/A,-0.01,N/A,-16.484,-16.1392147,-14.8955105,N/A,N/A,N/A,N/A,False,Basic Materials
CAPT.V,12188323.0,N/A,N/A,N/A,0.95394737,N/A,12.628,N/A,N/A,54.81989982,N/A,-0.02,N/A,-10.11,-10.05104012,-10.2306025,N/A,N/A,-21.85013413,-10.497,False,Basic Materials
PNTR.V,12086964.0,N/A,N/A,N/A,N/A,N/A,0.14,N/A,N/A,-10.66819197,N/A,-0.02,N/A,-330.75602,-187.2826966,624.0451355,N/A,N/A,-0.98367435,N/A,True,Basic Materials
