Ticker,PE Ratio_highlight,Forward P/E_highlight,P/S Ratio_highlight,P/B Ratio_highlight,Dividend Yield (%)_highlight,Current Ratio_highlight,Debt/Equity_highlight,Revenue Growth 4Y (%)_highlight,EPS Growth 4Y (%)_highlight,Forward EPS Growth (%)_highlight,EPS_highlight,PEG Ratio_highlight,ROE (%)_highlight,ROA (%)_highlight,ROIC (%)_highlight,Profit Margin (%)_highlight,Gross Margin (%)_highlight,FCF Yield (%)_highlight,FCF/EV_highlight,EV/EBITDA_highlight
EMA.TO,within,within,within,within,above,within,within,within,below,above,above,above,within,within,within,within,within,above,above,within
OVV.TO,below,below,within,within,below,below,above,within,within,below,above,below,above,above,above,above,within,above,above,within
CCL-B.TO,within,within,above,above,below,within,below,below,below,above,above,below,above,above,above,above,within,within,within,within
CCL-A.TO,within,within,above,above,below,within,below,below,below,above,above,within,above,above,above,above,within,within,within,within
STN.TO,above,within,above,above,below,within,within,within,above,below,above,within,above,within,above,within,above,above,above,above
DAY.TO,above,within,above,above,within,below,within,above,within,within,above,within,above,above,above,above,within,below,below,above
ARX.TO,within,within,above,within,below,below,below,above,within,below,above,above,above,above,above,above,within,within,within,within
BNT.TO,below,within,below,above,below,within,within,above,above,below,above,within,above,within,above,within,within,within,within,below
PAAS.TO,within,above,above,within,within,within,within,above,within,within,below,above,above,above,above,below,within,above,above,above
AGI.TO,above,above,above,above,below,within,within,within,above,within,above,below,above,above,above,above,above,above,above,above
DSG.TO,above,above,above,above,within,within,below,within,above,above,above,within,above,above,above,above,above,within,within,above
OTEX.TO,below,below,within,within,above,below,above,within,below,within,above,within,above,above,above,above,above,above,above,below
ATRL.TO,above,above,within,within,below,below,within,below,within,above,within,above,within,within,within,within,below,below,below,above
FSV.TO,above,within,below,above,below,within,within,above,below,above,above,below,above,above,above,below,below,below,within,above
X.TO,above,above,above,above,below,below,within,above,within,above,within,above,within,below,within,within,above,above,above,below
EFN.TO,within,within,above,above,within,above,above,within,above,above,within,within,above,within,within,above,above,below,below,within
SAP.TO,above,within,below,within,within,within,within,within,below,within,below,below,below,below,below,below,below,within,within,within
