Ticker,PE Ratio_highlight,Forward P/E_highlight,P/S Ratio_highlight,P/B Ratio_highlight,Dividend Yield (%)_highlight,Current Ratio_highlight,Debt/Equity_highlight,Revenue Growth 4Y (%)_highlight,EPS Growth 4Y (%)_highlight,Forward EPS Growth (%)_highlight,EPS_highlight,PEG Ratio_highlight,ROE (%)_highlight,ROA (%)_highlight,ROIC (%)_highlight,Profit Margin (%)_highlight,Gross Margin (%)_highlight,FCF Yield (%)_highlight,FCF/EV_highlight,EV/EBITDA_highlight
MMG.V,within,within,within,above,within,above,within,within,within,within,within,within,below,within,below,within,within,within,below,within
ZOMD.V,below,within,within,above,within,within,below,within,above,within,above,within,above,above,above,above,within,above,above,within
EBM.V,within,within,above,within,within,below,within,within,below,within,below,within,within,below,above,below,above,within,within,within
SECU.V,above,within,below,below,above,above,below,above,within,within,below,within,below,below,below,below,below,above,above,above
BIGG.V,within,within,above,within,within,below,below,above,below,within,below,within,below,below,below,below,above,below,below,within
WIL.V,within,within,above,above,within,above,within,below,below,within,below,within,below,below,below,within,within,within,within,within
BTR.V,within,within,within,above,within,within,within,within,above,within,within,within,below,below,below,within,within,within,within,within
ECU.V,within,within,within,above,within,within,below,within,above,within,below,within,below,below,below,within,within,within,within,within
NCI.V,within,within,below,above,within,below,above,above,within,above,above,within,within,above,above,above,within,within,within,below
PINK.V,within,within,above,within,within,within,below,within,below,within,above,within,below,below,below,within,above,below,below,within
PGE.V,within,within,within,above,within,above,within,within,above,within,within,within,below,within,below,within,within,within,below,within
ABI.V,within,within,above,within,within,below,within,below,within,within,within,within,within,below,above,within,above,below,below,within
WGO.V,within,within,within,below,within,within,within,within,above,within,above,within,above,above,above,within,within,below,below,within
NWST.V,within,within,within,below,within,within,within,within,above,within,within,within,above,above,above,within,within,within,within,within
SDI.V,below,below,below,below,within,within,below,above,within,within,below,within,within,above,above,within,within,above,above,below
OTC.V,within,within,within,within,within,above,within,within,below,within,above,within,within,below,below,within,within,above,above,within
GFG.V,within,within,within,within,within,within,below,within,below,within,above,within,above,above,above,within,within,within,within,within
RPX.V,within,within,within,above,within,below,within,within,within,within,within,within,below,below,below,within,within,below,below,within
UFC.V,below,within,below,below,within,within,below,below,below,above,below,within,above,above,above,above,within,above,above,within
CDB.V,within,within,within,above,within,above,below,within,above,within,below,within,below,below,below,within,within,below,below,within
ELBM.V,within,within,within,below,within,below,above,within,below,within,below,within,below,below,below,within,within,below,below,within
NEXE.V,within,within,above,below,within,above,below,within,above,within,below,within,below,below,below,within,below,below,below,within
IEI.V,within,within,below,below,below,below,within,within,above,within,below,within,below,below,below,below,within,within,within,within
GPG.V,within,within,within,within,within,below,below,within,above,within,above,within,above,above,above,within,within,within,within,within
AZS.V,within,within,within,above,within,above,within,within,above,within,within,within,below,below,below,within,within,above,above,within
BRM.V,below,within,within,above,within,within,within,below,above,within,below,within,above,above,above,above,within,above,above,below
TM.V,within,below,within,within,within,below,within,within,above,within,above,within,within,above,above,below,below,below,below,below
TK.V,within,within,within,below,within,above,within,within,within,within,within,within,above,within,above,within,within,above,above,within
SSVR.V,within,within,within,below,within,above,within,within,above,within,above,within,above,above,above,within,within,below,below,within
GSP.V,within,within,within,above,within,below,above,within,below,within,within,within,below,within,below,within,within,above,above,within
SRR.V,above,within,above,within,above,above,within,above,within,above,below,within,within,within,within,above,above,below,below,within
BBB.V,within,within,within,within,within,above,below,within,below,within,within,within,below,below,below,within,within,below,below,within
ZNG.V,within,within,within,above,within,above,within,within,below,within,above,within,below,below,below,within,within,within,within,within
ECM.V,within,within,above,above,within,below,above,within,below,within,below,within,below,below,below,within,above,below,below,within
AHR.V,within,within,within,above,within,below,above,within,within,within,within,within,below,within,below,within,within,within,within,within
ECR.V,within,within,within,below,within,above,below,within,above,within,within,within,above,above,above,within,within,within,within,within
ALTA.V,within,within,within,within,within,above,within,within,above,within,above,within,above,above,above,within,within,within,within,within
ROK.V,within,above,below,below,within,below,below,above,below,within,below,within,below,below,below,below,within,below,within,within
YAK.V,below,within,above,below,within,above,within,above,within,within,within,within,above,below,below,within,above,within,within,within
CEBI.V,within,within,above,within,within,below,within,within,within,within,below,within,within,below,above,below,below,within,within,within
UCU.V,within,within,within,below,within,below,within,within,below,within,below,within,below,below,below,within,within,below,below,within
ROS.V,within,within,within,within,within,below,within,within,above,within,above,within,within,below,above,within,within,within,within,within
DAN.V,within,within,within,below,within,below,above,within,above,within,above,within,within,above,above,within,within,above,above,within
ASG.V,within,within,below,above,within,below,above,above,below,within,above,within,above,above,above,above,within,above,above,above
TMG.V,within,within,within,above,within,within,above,above,above,below,below,within,above,above,above,within,above,above,above,above
BZ.V,within,within,within,above,within,above,within,within,above,within,above,within,below,below,below,within,within,below,below,within
ARIC.V,within,within,above,within,within,above,within,within,above,within,above,within,within,above,within,within,above,above,within,within
AFE.V,within,within,within,below,within,below,below,within,below,within,below,within,below,below,below,within,within,within,within,within
LPS.V,within,within,above,above,within,within,below,below,within,within,below,within,below,below,below,below,above,within,within,within
VCI.V,below,within,above,above,within,above,below,below,below,above,below,within,above,above,above,above,above,above,above,within
KDK.V,within,within,within,below,within,within,within,within,above,within,above,within,above,above,above,within,within,below,below,within
JEV.V,within,within,above,above,within,below,within,within,within,within,below,within,below,below,below,within,above,below,below,within
OAM.V,within,within,above,below,within,above,below,above,below,within,above,within,above,within,within,below,below,below,below,within
SME.V,within,within,within,within,within,above,within,within,above,below,within,within,above,above,above,within,within,below,below,within
PLUR.V,within,within,below,above,within,below,above,above,above,within,below,within,below,below,below,below,below,below,below,within
SURG.V,within,within,within,below,within,above,below,within,above,within,above,within,above,above,above,within,within,within,within,within
FMC.V,within,within,within,above,within,within,within,within,below,within,within,within,below,below,below,within,within,within,within,within
ESK.V,within,within,within,above,within,above,within,within,above,within,above,within,below,above,above,within,within,within,within,within
JRV.V,within,within,below,below,within,below,above,within,below,within,below,within,below,within,above,below,below,within,within,within
VOL.V,within,within,above,within,within,below,within,above,within,within,below,within,below,below,below,below,within,below,below,within
RSLV.V,within,within,within,within,within,above,within,within,above,within,within,within,below,below,below,within,within,below,below,within
ADK.V,within,within,above,within,within,below,within,below,below,within,above,within,within,below,below,within,within,above,within,within
DCMC.V,within,within,within,above,within,below,within,within,above,within,within,within,below,below,below,within,within,below,below,within
MRZ.V,within,within,above,above,within,above,below,within,below,within,below,within,below,below,below,within,above,below,below,within
FHYD.V,within,within,within,within,within,below,within,within,below,within,below,within,within,below,below,within,within,below,below,within
GUS.V,within,within,within,above,within,above,within,within,above,within,below,within,below,below,below,within,within,within,within,within
PVT.V,within,within,below,below,within,above,below,within,within,within,below,within,below,below,below,below,within,below,below,within
EAM.V,within,within,within,within,within,below,below,within,below,within,above,within,within,within,below,within,within,above,above,within
GLDC.V,within,within,within,below,within,above,below,within,within,within,within,within,above,above,above,within,within,below,below,within
STS.V,within,within,within,within,within,below,within,within,below,within,below,within,below,within,below,within,within,below,below,within
TSG.V,within,within,within,below,within,above,within,within,below,within,above,within,above,above,above,within,within,above,above,within
TAO.V,within,within,above,below,within,above,below,within,within,within,below,within,within,below,below,within,within,below,below,within
CSO.V,within,below,below,below,within,below,within,above,within,within,below,within,above,above,above,below,below,above,above,within
MKA.V,within,within,within,above,within,below,within,within,below,within,above,within,below,below,below,within,within,below,below,within
CTZ.V,below,within,above,within,within,above,within,below,within,above,above,within,above,above,above,above,within,above,above,below
PGZ.V,within,within,within,above,within,above,within,within,below,within,within,within,below,below,below,within,within,within,within,within
ROOF.V,within,within,within,within,within,within,within,within,below,within,below,within,within,below,below,within,within,below,within,within
AGMR.V,within,within,within,below,within,within,within,within,below,within,above,within,above,above,above,within,within,below,below,within
VO.V,below,within,within,above,within,below,below,within,within,within,below,within,below,within,below,within,within,within,within,within
MD.V,within,within,above,below,within,within,below,above,above,within,within,within,above,above,above,within,above,within,below,within
MGM.V,within,within,within,above,within,within,below,within,below,within,within,within,below,within,below,within,within,below,below,within
VTX.V,within,below,below,below,within,below,above,within,within,below,below,within,below,below,below,below,within,above,above,below
CPS.V,within,within,within,within,within,below,within,within,below,within,within,within,within,below,below,within,within,within,within,within
ENW.V,within,within,above,within,within,above,below,below,below,within,below,within,below,below,below,below,within,below,below,within
CAPT.V,within,within,within,within,within,above,within,within,above,within,above,within,within,within,within,within,within,within,within,within
SPOT.V,within,within,above,below,within,above,below,below,within,within,below,within,below,below,below,within,below,below,above,below
RYR.V,within,within,within,within,within,above,below,within,below,within,below,within,below,below,below,within,within,within,within,within
CCE.V,within,within,within,below,within,within,below,within,below,within,below,within,below,below,below,within,within,within,within,within
DME.V,within,within,above,below,within,above,within,within,below,within,below,within,below,below,below,within,below,below,below,within
EVGN.V,within,above,within,below,within,within,below,within,within,within,below,within,below,below,below,below,below,below,below,within
MENE.V,within,within,within,within,within,above,below,below,below,within,below,within,below,below,below,below,within,within,above,within
AUMB.V,within,within,within,below,within,within,within,below,above,within,above,within,above,above,above,within,within,below,below,within
ABR.V,within,within,within,above,within,above,within,within,above,within,within,within,below,below,below,within,within,within,within,within
FMAN.V,within,within,within,below,within,below,within,within,above,below,within,within,above,above,above,within,within,above,above,within
VML.V,within,within,within,above,within,below,below,within,above,within,above,within,within,within,below,within,within,within,within,within
WHN.V,within,within,within,below,within,below,below,within,above,within,above,within,above,above,above,within,within,below,below,within
NLH.V,within,below,below,below,within,below,below,within,above,within,above,within,above,above,above,above,within,above,above,above
ARK.V,within,within,within,within,within,within,within,within,within,within,within,within,within,below,below,within,within,above,within,within
BRAU.V,within,within,within,above,within,above,below,within,above,within,above,within,below,below,below,within,within,below,below,within
CCCM.V,within,within,within,below,within,above,within,within,below,within,below,within,above,above,above,within,within,below,below,within
SBIO.V,within,below,within,within,within,below,within,within,within,within,within,within,within,below,below,below,within,below,below,within
DEFN.V,within,within,within,below,within,below,below,within,above,within,above,within,above,within,above,within,within,below,below,within
LIT.V,within,within,within,below,within,above,within,within,below,within,below,within,below,below,below,within,within,below,below,within
DELX.V,within,within,below,within,within,below,within,within,above,within,below,within,within,below,above,within,within,within,within,within
WML.V,within,within,within,below,within,above,within,within,below,within,within,within,below,below,below,within,within,within,within,within
EDG.V,within,within,within,within,within,above,within,within,within,within,above,within,above,above,above,within,within,within,within,within
BAY.V,within,within,within,above,within,within,within,within,below,within,above,within,within,below,below,within,within,within,within,within
BTCW.V,within,within,below,within,within,within,within,below,below,within,below,within,within,below,below,below,below,within,within,within
EMM.V,within,within,within,below,within,above,above,within,below,within,within,within,below,within,below,within,within,below,below,within
NAU.V,within,within,within,below,within,above,below,within,within,within,within,within,within,within,within,within,within,above,above,within
XX.V,within,below,below,below,within,within,below,within,below,within,below,within,below,below,below,below,above,below,below,within
VPT.V,within,within,above,within,within,below,within,within,below,within,above,within,below,below,below,within,above,within,within,within
LEM.V,within,within,within,below,within,above,within,within,below,within,above,within,within,within,within,within,within,below,below,within
RSS.V,within,within,above,within,within,below,within,below,above,within,above,within,within,below,below,within,above,within,within,within
BLM.V,within,within,below,below,within,above,below,below,below,within,below,within,within,below,below,below,within,below,below,within
BNXA.V,within,within,below,within,within,below,within,above,below,within,below,within,within,below,below,above,below,below,below,above
EMN.V,within,within,above,within,within,above,above,within,within,within,within,within,below,below,below,within,below,below,below,within
VUX.V,within,within,within,within,within,below,within,above,below,above,below,within,below,below,below,below,above,below,below,below
STRR.V,below,within,above,below,within,above,within,above,within,within,above,within,above,above,above,above,above,within,within,within
CN.V,within,within,within,within,within,above,within,within,below,within,above,within,above,above,above,within,within,above,above,within
TECT.V,within,within,within,above,within,above,within,within,above,within,above,within,below,below,below,within,within,below,below,within
QZM.V,within,within,within,above,within,below,below,within,within,within,above,within,below,below,below,within,within,above,above,within
GG.V,within,below,within,below,within,below,below,within,within,within,within,within,above,above,above,below,below,below,below,within
PCLO.V,within,within,above,within,within,below,within,below,above,within,above,within,within,below,below,within,below,within,within,within
BKM.V,within,within,within,above,within,below,above,within,above,within,within,within,below,below,below,within,within,above,above,within
NPR.V,within,within,within,within,within,above,below,within,below,within,below,within,below,below,below,within,within,below,below,within
QCCU.V,within,within,within,within,within,above,within,within,within,within,within,within,below,below,below,within,within,within,within,within
SOU.V,within,within,within,within,within,below,above,within,below,within,below,within,below,below,below,within,within,below,below,above
EMNT.V,within,within,within,above,within,below,below,within,below,within,below,within,below,below,below,within,within,above,above,within
AMY.V,within,within,within,below,within,above,within,within,within,within,within,within,below,below,below,within,within,within,within,within
MHUB.V,within,within,within,within,within,within,within,above,below,within,below,within,within,below,below,within,within,within,within,within
ROMJ.V,within,within,below,below,within,below,within,within,above,within,above,within,above,above,above,above,below,above,above,above
GIII.V,within,within,within,within,within,below,within,within,below,within,below,within,within,below,above,within,within,within,within,within
YES.V,within,within,above,above,within,below,above,below,below,within,below,within,below,below,below,within,below,below,below,within
AUAU.V,below,within,within,below,within,above,below,within,above,within,above,within,above,above,above,within,within,above,above,below
RDG.V,within,within,within,within,within,above,below,within,above,within,above,within,above,above,above,within,within,below,below,within
SEV.V,within,within,within,within,within,above,below,above,above,within,below,within,below,below,below,within,within,below,below,within
AIR.V,within,within,within,below,within,below,below,within,below,within,above,within,within,within,within,within,within,below,below,within
RE.V,within,within,above,within,above,above,above,above,below,within,below,within,below,below,below,within,below,above,above,within
GMV.V,within,within,within,within,within,above,within,within,above,within,above,within,within,within,within,within,within,within,within,within
TSLV.V,within,within,within,above,within,within,within,within,below,within,within,within,below,below,below,within,within,below,below,within
BMET.V,within,within,within,below,within,above,above,within,below,within,above,within,within,above,above,within,within,within,within,within
TDG.V,within,within,within,within,within,below,below,within,below,within,within,within,below,below,below,within,within,below,below,within
STE.V,within,within,within,below,within,below,within,within,below,within,within,within,above,above,above,within,within,within,within,within
DB.V,within,below,below,below,within,below,above,above,above,within,above,within,above,above,above,above,within,above,above,below
BRO.V,within,within,within,below,within,within,below,within,below,within,below,within,within,within,below,within,within,below,below,within
REKO.V,within,within,below,below,within,above,below,below,above,within,below,within,below,below,below,below,within,below,below,below
SGN.V,within,within,within,within,within,below,above,within,above,within,below,within,below,within,below,within,within,below,below,within
WHY.V,within,within,within,within,within,below,within,within,below,within,within,within,within,below,above,within,within,within,within,within
EDY.V,within,within,above,within,within,below,within,within,within,within,below,within,within,below,below,below,within,below,below,within
ATY.V,within,below,below,below,within,below,above,below,within,within,below,within,above,above,above,below,below,above,above,below
CMU.V,below,within,above,above,within,above,within,below,within,within,above,within,above,above,above,above,within,below,below,within
CNX.V,within,within,within,below,within,below,below,within,above,within,below,within,above,above,above,within,within,below,below,within
RHC.V,within,within,above,below,within,below,above,within,below,within,below,within,below,below,below,within,below,below,below,within
BEX.V,within,within,within,below,within,within,below,within,within,within,above,within,above,below,below,within,within,above,above,within
LBNK.V,within,within,within,within,within,within,within,within,within,within,within,within,within,within,within,within,within,below,within,within
TLA.V,within,within,above,below,within,above,below,within,within,within,below,within,below,below,below,below,above,below,below,within
RK.V,within,within,within,below,within,above,within,within,above,within,within,within,above,above,above,within,within,above,above,within
LIS.V,within,within,within,below,within,above,within,within,above,within,below,within,below,below,below,within,within,within,within,within
NHHH.V,within,within,within,below,within,below,below,within,below,within,below,within,below,below,below,within,within,below,below,within
MLP.V,within,within,within,within,within,within,below,within,below,within,below,within,below,below,below,within,within,within,within,within
SRL.V,within,within,within,below,within,above,within,within,below,within,within,within,below,below,below,within,within,within,within,within
GRB.V,within,within,within,within,within,below,below,within,above,within,below,within,below,below,below,within,within,within,within,within
KC.V,within,within,within,below,within,above,within,within,above,within,within,within,above,above,within,within,within,below,below,within
VUL.V,within,within,above,below,within,above,within,within,below,within,above,within,above,above,above,within,above,above,above,within
GGO.V,within,within,within,below,within,below,below,within,above,within,below,within,within,within,below,within,within,below,below,within
LBC.V,within,within,within,above,within,above,below,within,below,within,below,within,below,below,below,within,within,below,below,within
KNE.V,within,within,above,within,within,below,within,below,below,within,above,within,within,above,below,above,within,within,below,within
ODD.V,within,within,above,within,within,below,within,above,below,within,below,within,within,below,below,below,within,below,below,within
WCU.V,within,within,within,below,within,below,below,within,above,within,above,within,below,above,above,within,within,within,within,within
PA.V,below,within,within,above,within,above,within,within,within,within,above,within,above,above,above,within,within,below,below,within
ANK.V,within,within,within,above,within,below,above,within,above,within,above,within,below,within,below,within,within,above,above,within
YGT.V,within,within,within,below,within,above,within,within,below,within,above,within,above,above,above,within,within,below,below,within
QYOU.V,within,within,below,above,within,below,below,above,above,within,above,within,below,below,below,below,below,below,below,within
QNC.V,within,within,within,above,within,above,below,within,below,within,above,within,below,within,below,within,within,below,below,within
JG.V,within,within,within,below,within,above,below,within,above,within,within,within,above,above,within,within,within,below,below,within
CMC.V,within,within,within,below,within,below,below,within,above,within,below,within,below,below,below,within,within,below,below,within
DAU.V,within,within,within,above,within,below,within,within,above,within,above,within,below,below,below,within,within,within,within,within
PTU.V,within,within,within,above,within,above,below,within,below,within,below,within,below,below,below,within,within,within,within,within
UGD.V,within,within,within,above,within,above,within,within,above,within,above,within,below,below,below,within,within,within,within,within
MOON.V,within,within,within,above,within,above,within,within,above,within,above,within,below,below,below,within,within,within,within,within
YNV.V,within,within,above,within,within,above,below,above,within,within,within,within,below,within,below,within,within,below,below,within
WISH.V,within,within,below,below,within,below,below,above,above,within,above,within,below,below,below,below,above,below,below,within
THRM.V,within,within,above,above,within,below,below,above,below,within,above,within,below,below,below,within,above,above,above,within
REVV.V,within,within,above,above,within,below,within,within,within,within,below,within,below,below,below,below,above,below,below,within
CRI.V,within,within,within,above,within,below,above,within,within,within,within,within,below,below,below,within,within,below,below,within
VVC.V,within,within,above,above,within,below,below,within,above,within,below,within,below,below,below,within,above,below,below,within
TWR.V,within,within,within,within,within,above,within,within,above,within,within,within,above,above,above,within,within,within,within,within
SMN.V,within,within,within,above,within,above,within,within,above,within,below,within,below,below,below,within,within,below,below,within
VCU.V,within,within,within,below,within,above,below,within,below,within,below,within,below,below,below,within,within,below,below,within
SOI.V,within,within,within,below,within,above,below,within,within,above,within,within,above,above,above,within,within,below,below,within
MTS.V,within,within,within,above,within,below,above,within,below,within,above,within,within,within,below,within,within,above,above,within
OMI.V,within,within,within,within,within,below,within,within,below,within,within,within,within,below,above,within,within,within,below,within
SPN.V,within,within,below,above,within,below,below,above,above,within,above,within,below,below,below,below,below,within,above,within
TRBE.V,within,within,below,above,within,below,above,above,below,within,below,within,below,within,below,below,below,below,below,within
HAPB.V,within,within,above,within,within,below,within,within,above,within,within,within,within,below,above,within,above,within,within,within
ELEC.V,within,within,above,below,within,within,above,within,above,within,below,within,below,below,below,within,above,below,below,within
BSK.V,within,within,within,within,within,below,within,within,below,within,below,within,below,below,below,within,within,below,below,within
AVCR.V,within,within,within,above,within,within,within,above,above,within,within,within,above,above,above,above,within,above,above,above
KG.V,within,within,within,below,within,above,below,within,above,within,within,within,above,above,above,within,within,below,below,within
NBVA.V,within,within,above,within,within,above,below,below,above,within,within,within,below,above,above,below,above,above,above,within
GRAT.V,within,within,within,below,within,below,below,within,above,within,within,within,within,within,within,within,within,below,below,within
PNTR.V,within,within,within,within,within,below,within,within,above,within,above,within,within,below,above,within,within,above,above,within
SCAN.V,within,within,above,within,within,below,within,within,below,within,below,within,below,below,below,within,above,below,below,within
DLTA.V,within,within,within,above,within,above,within,within,below,within,below,within,below,below,below,within,within,below,below,within
PEI.V,within,within,below,above,within,below,above,above,above,within,within,within,below,below,below,below,within,below,below,above
PLAN.V,within,within,below,below,within,within,above,within,above,within,within,within,above,above,above,within,within,above,above,within
AXE.V,within,within,above,within,within,below,within,below,below,within,above,within,within,below,above,below,above,within,within,above
GIGA.V,within,within,within,below,within,within,below,within,above,within,above,within,above,above,within,within,within,below,below,within
VIPR.V,within,within,within,within,within,above,within,within,above,within,above,within,below,below,below,within,within,below,below,within
AVN.V,within,below,within,below,within,below,below,within,below,within,below,within,below,below,below,within,within,below,below,within
OMM.V,within,within,within,within,within,below,above,within,above,within,above,within,below,within,within,within,within,within,within,within
RSMX.V,within,within,within,within,within,below,below,within,below,within,within,within,below,below,below,within,within,below,below,within
RUG.V,within,within,within,above,within,below,within,within,below,within,above,within,below,below,below,within,within,within,within,within
FBF.V,below,within,within,within,within,above,below,above,above,above,above,within,above,within,above,above,within,above,above,within
LQWD.V,within,within,above,below,within,above,within,below,above,within,below,within,below,below,below,within,within,below,below,within
RIWI.V,within,within,within,above,within,above,within,below,within,within,within,within,below,below,below,below,above,below,below,within
PGDC.V,within,within,below,above,within,below,above,within,within,within,within,within,below,within,within,below,below,within,within,within
CTM.V,within,within,within,below,within,above,within,within,above,within,above,within,within,within,within,within,within,within,below,within
PUMA.V,within,within,within,below,within,below,within,within,above,within,above,within,within,above,within,within,within,below,below,within
KTO.V,within,within,within,below,within,below,below,within,above,within,above,within,above,above,above,within,within,within,within,within
AKR.V,below,within,below,above,within,below,above,below,within,above,above,within,above,above,above,above,above,above,above,below
FOR.V,within,within,within,below,within,below,below,within,above,within,above,within,above,above,above,within,within,within,within,within
MOX.V,within,within,above,above,within,above,within,above,below,within,below,within,below,below,below,within,above,within,within,within
KIDZ.V,within,within,within,above,within,above,within,above,within,within,above,within,below,below,below,below,below,below,below,within
FNC.V,below,within,within,below,within,above,within,within,below,within,above,within,above,within,within,within,within,below,above,below
SOLR.V,within,within,below,within,within,below,within,above,above,within,within,within,within,below,above,above,below,below,below,within
FRI.V,within,within,within,above,within,above,within,within,above,within,above,within,below,below,below,within,within,within,within,within
SAE.V,within,within,within,within,within,below,within,within,within,within,within,within,below,below,below,within,within,below,below,within
GAL.V,within,below,within,within,within,below,above,within,within,within,below,within,below,below,below,within,within,below,below,within
TUK.V,within,within,above,above,within,below,within,within,within,within,above,within,below,above,below,below,above,below,below,within
TUF.V,within,within,within,above,within,below,within,within,below,within,within,within,below,below,above,within,within,within,within,within
BHS.V,within,within,within,within,within,below,above,within,above,within,above,within,below,below,below,within,within,within,within,within
IQ.V,below,within,within,below,within,above,within,within,above,below,above,within,above,above,above,above,within,above,above,below
PGLD.V,within,within,within,within,within,below,within,within,below,within,below,within,within,above,below,within,within,below,below,within
GBU.V,within,within,within,within,within,below,within,within,above,within,above,within,within,below,above,within,within,below,below,within
FLY.V,within,within,below,within,within,within,within,within,below,within,below,within,below,below,below,below,above,below,below,within
PUL.V,within,within,above,below,within,below,within,above,above,within,within,within,below,below,below,below,above,above,above,within
SNV.V,within,within,above,above,within,within,below,within,within,within,below,within,below,below,below,within,below,below,below,within
SAG.V,within,within,within,below,within,above,within,within,above,within,above,within,above,within,above,within,within,below,below,within
CD.V,within,within,within,above,within,above,below,within,below,within,within,within,below,below,below,within,within,within,within,within
NRM.V,within,within,within,within,within,above,below,within,above,within,within,within,below,below,below,within,within,within,within,within
PESO.V,within,within,below,within,within,below,within,within,below,within,below,within,within,below,below,below,within,below,below,within
NGC.V,within,within,below,within,within,below,within,within,below,within,below,within,below,below,below,below,below,below,within,within
DEX.V,within,within,above,below,within,above,within,within,above,within,above,within,above,above,above,within,above,below,above,below
SIC.V,within,within,within,below,within,above,within,within,below,within,above,within,below,below,below,within,within,below,below,within
NXH.V,within,within,above,within,within,within,below,within,within,within,below,within,below,below,below,within,below,below,below,within
GMA.V,within,within,within,above,within,within,above,within,above,within,above,within,below,below,below,within,within,below,below,within
CEC.V,within,below,within,within,within,above,below,within,within,within,within,within,within,above,above,within,within,below,below,within
OPHR.V,within,within,within,within,within,above,within,within,below,within,within,within,below,below,below,within,within,below,below,within
MILL.V,within,within,within,above,within,above,within,within,below,within,above,within,below,below,below,within,within,within,within,within
CSTR.V,within,within,within,above,within,within,below,above,above,within,below,within,below,below,below,below,below,below,below,within
PE.V,within,within,above,below,within,within,within,within,above,within,above,within,above,above,above,below,above,within,within,within
DSY.V,within,above,within,within,within,above,within,below,above,within,above,within,above,above,above,above,above,below,below,within
HEVI.V,within,within,within,within,within,above,below,within,below,within,below,within,below,below,below,within,within,below,below,within
EPL.V,below,below,below,below,within,above,within,above,above,below,above,within,above,above,above,above,below,above,below,within
MMS.V,within,within,above,below,within,below,below,within,above,within,within,within,above,above,above,within,above,within,within,within
VIS.V,within,within,above,within,within,below,within,above,above,within,above,within,below,below,below,below,below,below,below,within
NWX.V,below,within,within,above,above,above,below,within,below,within,above,within,above,above,above,within,within,within,within,within
RRI.V,within,within,within,below,within,above,within,within,within,within,above,within,above,within,above,within,within,below,below,within
PHA.V,within,within,below,below,within,below,above,above,within,within,above,within,below,above,above,above,below,above,above,within
RVLY.V,within,within,below,within,within,within,within,above,below,within,below,within,below,below,below,below,above,below,below,within
COR.V,within,within,within,within,within,below,below,within,below,within,above,within,below,below,below,within,within,below,below,within
TORQ.V,within,within,within,within,within,below,within,within,below,within,below,within,below,below,below,within,within,below,below,within
ZAC.V,below,within,within,below,within,below,within,within,within,within,above,within,above,above,above,within,within,within,within,within
TNR.V,within,within,within,within,within,above,within,within,within,within,within,within,below,below,below,within,within,within,within,within
KCC.V,within,within,within,below,within,above,within,within,above,within,above,within,within,within,within,within,within,below,below,within
GGI.V,within,within,within,below,within,below,within,within,above,within,above,within,above,above,above,within,within,within,within,within
ISGI.V,within,within,above,within,within,below,within,above,above,within,above,within,within,below,above,below,within,within,within,within
IVS.V,within,within,within,above,within,below,above,within,within,within,within,within,below,below,below,within,within,within,within,within
GRDM.V,within,within,within,above,within,below,above,within,below,within,within,within,below,below,below,within,within,within,within,within
JUGR.V,within,within,within,below,within,above,within,within,below,within,below,within,below,below,below,within,within,below,below,within
CPAU.V,within,within,within,below,within,below,within,within,above,within,below,within,above,above,above,within,within,below,below,within
FOBI.V,within,within,above,within,within,below,below,within,below,within,within,within,below,below,below,within,below,below,below,within
QST.V,within,within,within,below,within,above,below,below,below,within,below,within,below,below,below,below,within,below,below,within
RDU.V,within,within,within,above,within,within,below,within,below,within,above,within,below,below,below,within,within,within,below,within
VM.V,within,within,within,above,within,below,below,within,above,within,above,within,below,below,below,within,within,within,within,within
LLG.V,within,below,within,below,within,above,within,within,within,within,above,within,above,above,above,within,within,within,within,within
TELO.V,within,within,within,above,within,below,within,within,below,within,above,within,below,below,below,within,within,within,below,within
BHLI.V,within,within,within,below,within,below,within,within,below,within,within,within,above,above,above,within,within,below,below,within
RW.V,within,within,below,within,within,below,within,below,within,below,within,within,within,below,above,below,above,above,above,within
WRR.V,within,within,within,below,within,below,within,within,above,within,above,within,within,above,within,within,within,within,within,within
FARM.V,within,within,below,within,within,below,above,above,below,within,below,within,within,below,below,below,within,below,below,within
ESE.V,within,within,below,within,within,within,within,above,above,within,within,within,below,below,below,below,below,below,below,within
SLMN.V,within,within,within,below,within,above,below,within,above,within,within,within,below,below,below,within,within,below,below,within
SKP.V,within,within,within,above,within,above,within,within,above,within,below,within,below,below,below,within,within,within,within,within
ELC.V,within,within,below,within,within,above,below,below,within,within,below,within,below,below,below,within,within,within,within,within
NOW.V,within,below,below,above,within,below,above,within,within,within,within,within,below,within,below,below,within,below,below,below
MPH.V,within,within,below,below,within,below,below,above,above,within,above,within,above,above,above,above,within,above,above,within
FFOX.V,within,within,within,above,within,below,within,within,above,within,above,within,below,below,below,within,within,within,within,within
HEM.V,within,within,within,within,within,below,within,within,above,within,above,within,within,below,above,within,within,within,within,within
MYID.V,below,within,below,within,within,below,within,above,within,within,above,within,within,above,above,above,above,above,above,above
VENZ.V,within,within,within,within,within,below,within,within,above,within,above,within,within,below,above,within,within,within,within,within
PRG.V,within,within,within,within,within,above,within,within,within,within,above,within,above,within,below,within,within,within,within,within
APN.V,within,within,within,above,within,below,above,within,above,within,above,within,within,within,above,below,above,below,below,below
GQ.V,within,within,within,within,within,below,within,within,within,within,above,within,within,below,above,within,within,within,within,within
GCOM.V,below,within,within,below,within,above,below,within,below,within,above,within,above,above,above,within,within,below,below,within
